Order Date,Order No.,Sale,RT,RTO,Net Sale,Commission,Logistics,TCS,TDS,Settled Amount,Total,SPF,Net Receivable,Remarks,Ageing(Days),Slab
2025-07-16,8569792742,1128.0,1128.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,71,>60
2025-07-23,8579589523,336.0,0.0,336.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,64,>60
2025-07-23,8580403092,885.0,0.0,0.0,885.0,,,,,,0.0,0.0,885.0,Pending Payment,64,>60
2025-07-23,8580048996,1298.0,1298.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,64,>60
2025-07-01,8547723172,1305.0,0.0,0.0,1305.0,323.379,80.24,5.826,1.165,894.3899999999999,1304.9999999999998,0.0,2.2737367544323206e-13,Fully Paid,86,>60
2025-07-12,8562942428,689.0,0.0,0.0,689.0,,,,,,0.0,0.0,689.0,Pending Payment,75,>60
2025-07-24,8581238760,300.0,0.0,0.0,300.0,,,,,,0.0,0.0,300.0,Pending Payment,63,>60
2025-07-19,8574252074,336.0,0.0,0.0,336.0,,,,,,0.0,0.0,336.0,Pending Payment,68,>60
2025-07-23,8580201069,1038.0,0.0,0.0,1038.0,,,,,,0.0,0.0,1038.0,Pending Payment,64,>60
2025-07-28,8587384957,332.0,0.0,0.0,332.0,,,,,,0.0,0.0,332.0,Pending Payment,59,30-60
2025-07-04,8552631738,785.0,0.0,0.0,785.0,129.682,31.86,3.738,0.748,618.972,785.0000000000001,0.0,-1.1368683772161603e-13,Fully Paid,83,>60
2025-07-03,8550914860,440.0,0.0,0.0,440.0,41.536,31.86,2.095,0.419,364.09,440.0,0.0,0.0,Fully Paid,84,>60
2025-07-16,8570795510,1275.0,0.0,1275.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,71,>60
2025-07-04,8552716623,436.0,0.0,0.0,436.0,30.869000000000003,31.86,2.076,0.415,370.78,436.00000000000006,0.0,-5.684341886080802e-14,Fully Paid,83,>60
2025-07-19,8574584421,336.0,0.0,0.0,336.0,,,,,,0.0,0.0,336.0,Pending Payment,68,>60
2025-07-23,8580201071,1128.0,0.0,0.0,1128.0,,,,,,0.0,0.0,1128.0,Pending Payment,64,>60
2025-07-10,8560905187,436.0,0.0,0.0,436.0,30.869000000000003,31.86,2.076,0.415,370.78,436.00000000000006,0.0,-5.684341886080802e-14,Fully Paid,77,>60
2025-07-12,8563287025,330.0,0.0,0.0,330.0,,,,,,0.0,0.0,330.0,Pending Payment,75,>60
2025-07-16,8570809130,1275.0,1275.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,71,>60
2025-07-17,8571363862,893.0,0.0,0.0,893.0,,,,,,0.0,0.0,893.0,Pending Payment,70,>60
2025-07-17,8571669918,436.0,0.0,0.0,436.0,,,,,,0.0,0.0,436.0,Pending Payment,70,>60
2025-07-26,8584653300,861.0,0.0,0.0,861.0,,,,,,0.0,0.0,861.0,Pending Payment,61,>60
2025-07-26,8585061343,312.0,0.0,0.0,312.0,,,,,,0.0,0.0,312.0,Pending Payment,61,>60
2025-07-28,8586952543,689.0,0.0,0.0,689.0,,,,,,0.0,0.0,689.0,Pending Payment,59,30-60
2025-07-23,8580502436,388.0,388.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,64,>60
2025-07-22,8578680227,332.0,0.0,0.0,332.0,,,,,,0.0,0.0,332.0,Pending Payment,65,>60
2025-07-26,8584388821,861.0,0.0,0.0,861.0,,,,,,0.0,0.0,861.0,Pending Payment,61,>60
2025-07-15,8568478561,905.0,905.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,72,>60
2025-07-17,8571358587,336.0,0.0,0.0,336.0,,,,,,0.0,0.0,336.0,Pending Payment,70,>60
2025-07-20,8575621305,332.0,0.0,0.0,332.0,,,,,,0.0,0.0,332.0,Pending Payment,67,>60
2025-07-22,8578878323,861.0,861.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,65,>60
2025-07-25,8582517055,861.0,0.0,0.0,861.0,,,,,,0.0,0.0,861.0,Pending Payment,62,>60
2025-07-11,8561362330,1128.0,0.0,0.0,1128.0,252.898,53.1,5.036,1.007,815.959,1128.0,0.0,0.0,Fully Paid,76,>60
2025-07-06,8554723362,861.0,0.0,0.0,861.0,152.397,31.86,4.1,0.82,671.823,861.0000000000001,0.0,-1.1368683772161603e-13,Fully Paid,81,>60
2025-07-14,8566722235,885.0,0.0,0.0,885.0,,,,,,0.0,0.0,885.0,Pending Payment,73,>60
2025-07-18,8572754192,893.0,0.0,893.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,69,>60
2025-07-23,8580201077,1298.0,0.0,0.0,1298.0,,,,,,0.0,0.0,1298.0,Pending Payment,64,>60
2025-07-12,8563454206,681.0,0.0,0.0,681.0,,,,,,0.0,0.0,681.0,Pending Payment,75,>60
2025-07-13,8564847742,336.0,336.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,74,>60
2025-07-15,8568966250,336.0,0.0,336.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,72,>60
2025-07-08,8558322175,436.0,436.0,0.0,0.0,-0.0,228.92000000000002,-0.0,-0.0,949.9019999999999,1178.822,0.0,-1178.822,Partially Settled,79,>60
2025-07-10,8560899838,905.0,0.0,0.0,905.0,149.506,31.86,4.31,0.862,718.462,904.9999999999999,0.0,1.1368683772161603e-13,Fully Paid,77,>60
2025-07-22,8579013962,689.0,689.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,65,>60
2025-07-22,8578751114,649.0,0.0,0.0,649.0,,,,,,0.0,0.0,649.0,Pending Payment,65,>60
2025-07-20,8576764980,1128.0,1128.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,67,>60
2025-07-21,8576786591,336.0,0.0,0.0,336.0,,,,,,0.0,0.0,336.0,Pending Payment,66,>60
2025-07-25,8583156742,893.0,0.0,0.0,893.0,,,,,,0.0,0.0,893.0,Pending Payment,62,>60
2025-07-29,8589292428,885.0,0.0,0.0,885.0,,,,,,0.0,0.0,885.0,Pending Payment,58,30-60
2025-07-29,8589132146,505.0,0.0,0.0,505.0,,,,,,0.0,0.0,505.0,Pending Payment,58,30-60
2025-07-23,8580606822,681.0,681.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,64,>60
2025-07-09,8559784948,284.0,0.0,0.0,284.0,20.107,31.86,1.352,0.27,230.411,283.99999999999994,0.0,5.684341886080802e-14,Fully Paid,78,>60
2025-07-26,8584127053,787.0,0.0,0.0,787.0,,,,,,0.0,0.0,787.0,Pending Payment,61,>60
2025-07-21,8577321197,648.0,648.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,66,>60
