order_id,order_date,sku,sub-category,quantity,order_status,settlement_date,mrp,discount,net_realized_sale,igst,cgst,sgst,tcs,tds,commission,shipping_fee,fixed_fee,pick_and_pack_fee,payment_gateway_fee,tax_on_logistics,zone,actual_settlement,tax_on_commissions,_merge,payment_status,final_settlement,returned_quantity,net_delivered_quantity
8589132146,2025-07-29,112528968,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8580606822,2025-07-23,87429494,Kurta Sets,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8559784948,2025-07-09,77637278,Kurtas,1,delivered,2025-07-29,799.0,-456.0,284.0,13.52,0.0,0.0,-1.352,-0.27,-17.039830508474576,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,230.411,-3.0671694915254237,both,settled,230.411,,
8584127053,2025-07-26,77824666,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8577321197,2025-07-21,85672228,Trousers,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8575922296,2025-07-20,107416631,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8579854122,2025-07-23,107416495,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8576087524,2025-07-20,102360694,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8588760718,2025-07-29,110664679,Kurtis,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8559247863,2025-07-09,88315028,Palazzos,1,returned,2025-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,-27.0,0.0,0.0,-34.92,NATIONAL,939.0999999999999,0.0,both,settled,-228.92000000000002,1.0,0.0
8576786589,2025-07-21,78683188,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8577206302,2025-07-21,78682660,Palazzos,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8554796345,2025-07-06,78683142,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8576545394,2025-07-20,107416651,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
