order_id,order_date,sku,sub-category,quantity,order_status,settlement_date,mrp,discount,net_realized_sale,igst,cgst,sgst,tcs,tds,commission,shipping_fee,fixed_fee,pick_and_pack_fee,payment_gateway_fee,tax_on_logistics,zone,actual_settlement,tax_on_commissions,_merge,payment_status,final_settlement,returned_quantity,net_delivered_quantity,igst_amt,cgst_amt,sgst_amt
8558045158.0,2025-07-08 00:00:00,110664962,Kurta Sets,1,delivered,2025-07-29,1999.0,-1020.0,861.0,41.0,0.0,0.0,-4.1,-0.82,-129.15,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,671.823,-23.247,both,settled,671.823,,,,,
8561394220.0,2025-07-11 00:00:00,78210018,Kurtas,1,delivered,2025-07-28,1999.0,-820.0,1008.0,0.0,24.0,24.0,-4.8,-0.96,-191.51949152542375,0.0,-45.0,0.0,0.0,-8.1,ZONAL,723.147,-34.47350847457627,both,settled,723.1469999999999,,,,,
8551572277.0,2025-07-04 00:00:00,110664967,Kurta Sets,1,returned,2025-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-218.0,-45.0,0.0,0.0,-47.34,NATIONAL,2153.3999999999996,0.0,both,settled,-310.34000000000003,1.0,0.0,,,
8552243391.0,2025-07-04 00:00:00,78683170,Trousers,1,delivered,2025-07-22,799.0,-352.0,388.0,18.48,0.0,0.0,-1.848,-0.37,-23.279661016949152,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,326.45200000000006,-4.1903389830508475,both,settled,326.452,,,,,
8550728014.0,2025-07-03 00:00:00,110664852,Kurtas,1,delivered,2025-07-28,799.0,-400.0,340.0,16.19,0.0,0.0,-1.619,-0.324,-27.2,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,274.101,-4.896,both,settled,274.10099999999994,,,,,
8549244220.0,2025-07-02 00:00:00,102957125,Kurtas,1,returned,2025-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.0,-27.0,-17.0,0.0,-28.08,ZONAL,1249.252,0.0,both,settled,-184.07999999999998,1.0,0.0,,,
8551608392.0,2025-07-04 00:00:00,110664962,Kurta Sets,1,delivered,2025-07-28,1999.0,-1000.0,881.0,41.95,0.0,0.0,-4.195,-0.839,-132.15,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,688.169,-23.787,both,settled,688.1689999999999,,,,,
8563328686.0,2025-07-12 00:00:00,78683218,Trousers,1,delivered,2025-07-30,1099.0,-660.0,380.0,0.0,9.05,9.05,-1.81,-0.362,-22.8,0.0,-27.0,0.0,0.0,-4.86,LOCAL,319.064,-4.104,both,settled,319.064,,,,,
8545795183.0,2025-06-30 00:00:00,107416595,Kurta Sets,1,delivered,2025-07-21,1999.0,-1000.0,881.0,41.95,0.0,0.0,-4.195,-0.839,-132.15,0.0,-27.0,-23.0,0.0,-9.0,NATIONAL,661.029,-23.787,both,settled,661.0289999999999,,,,,
8555607624.0,2025-07-06 00:00:00,102733590,Kurtas,1,delivered,2025-07-23,1599.0,-816.0,689.02,0.0,16.41,16.41,-3.281,-0.656,-96.46016949152542,0.0,-27.0,0.0,0.0,-4.86,LOCAL,539.38,-17.362830508474573,both,settled,539.4000000000001,,,,,
8551515427.0,2025-07-04 00:00:00,102957152,Kurtas,1,delivered,2025-07-23,2599.0,-1300.0,1128.0,120.86,0.0,0.0,-5.036,-1.007,-214.32033898305085,0.0,-45.0,0.0,0.0,-8.1,NATIONAL,815.959,-38.57766101694915,both,settled,815.959,,,,,
8553981835.0,2025-07-05 00:00:00,102957219,Kurtas,1,delivered,2025-07-28,1399.0,-714.0,591.0,28.14,0.0,0.0,-2.814,-0.563,-82.74406779661018,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,458.155,-14.893932203389832,both,settled,458.125,,,,,
